1	2	2	2
16	14	10	26
6	9	0	25
26	19	20	27
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	14  22	26
6	9	21	25
26	19	23	27
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
15	13	21	25
5	8	20	24
25	18	22	26
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
15	13	21	15
5	8	20	0
25	18	22	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	14	10	26
6	9	0	25
26	19	20	27
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	14  22	26
6	9	21	25
26	19	23	27
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
15	13	21	25
5	8	20	24
25	18	22	26
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
15	13	21	15
5	8	20	0
25	18	22	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	14	10	26
6	9	0	25
26	19	20	27
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	14  22	26
6	9	21	25
26	19	23	27
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
15	13	21	25
5	8	20	24
25	18	22	26
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
15	13	21	15
5	8	20	0
25	18	22	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	14	10	26
6	9	0	25
26	19	20	27
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	14  22	26
6	9	21	25
26	19	23	27
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
15	13	21	25
5	8	20	24
25	18	22	26
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
15	13	21	15
5	8	20	0
25	18	22	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	14	10	26
6	9	0	25
26	19	20	27
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	14  22	26
6	9	21	25
26	19	23	27
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
15	13	21	25
5	8	20	24
25	18	22	26
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
15	13	21	15
5	8	20	0
25	18	22	30
1	2	2	2
1	1	1	1
30	31	31	31
