1	2	2	2
16	13	23	29
6	8	22	28
26	18	24	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
0	130	5	2
6	8	23	28
26	18	26	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
-12	12	24	29
0	7	23	26
24	17	25	31
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	13	23	29
6	8	22	28
26	18	24	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	12	24	30
6	7	23	29
26	17	25	31
1	2	2	2
1	1	1	1
30	31	31	31


1	2	2	2
16	12	24	30
6	7	23	29
26	17	25	31
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	13	23	29
6	8	22	28
26	18	24	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	12	24	30
6	7	23	29
26	17	25	31
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	13	23	29
6	8	22	28
26	18	24	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	12	24	30
6	7	23	29
26	17	25	31
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	13	23	29
6	8	22	28
26	18	24	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	12	24	30
6	7	23	29
26	17	25	31
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	13	23	29
6	8	22	28
26	18	24	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	12	24	30
6	7	23	29
26	17	25	31
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	13	23	29
6	8	22	28
26	18	24	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	12	24	30
6	7	23	29
26	17	25	31
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	13	23	29
6	8	22	28
26	18	24	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	12	24	30
6	7	23	29
26	17	25	31
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	13	23	29
6	8	22	28
26	18	24	30
1	2	2	2
1	1	1	1
30	31	31	31

1	2	2	2
16	12	24	30
6	7	23	29
26	17	25	31
1	2	2	2
1	1	1	1
30	31	31	31
