1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	27
8	30	42	45
28	40	44	47
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	25	28
8	30	43	46
28	40	45	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	16	24	28
9	30	42	46
29	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	29
8	30	42	47
28	40	44	49
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	17	24	28
8	31	42	46
28	41	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	16	24	28
8	30	42	46
28	40	44	48
1	1	2	2
1	20	20	20
30	51	51	51

