1	2	2	2
15	14	21	25
5	28	39	43
25	38	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	24
5	27	39	42
25	37	41	44
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
14	13	21	25
4	27	39	43
24	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
16	13	21	25
6	27	39	43
26	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	26
5	27	39	44
25	37	41	46
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51

1	2	2	2
15	13	21	25
5	27	39	43
25	37	41	45
1	1	2	2
1	20	20	20
30	51	51	51
